image_path,label,category,split,source
datasets/raw/nsfw_detection/out/train/NSFW/263.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/images-97-_jpg.rf.b549bab4963c89a8823e7117452f7d1b.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/alcoholimage22-17-_jpg.rf.91fabb0df74d0a737653b2734e5148c0.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/images-2023-10-03T123423-888_jpg.rf.9b75f64dd62f65dc8a9bd47f61d2722e.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/w_bloodstain-sample_13_jpg.rf.92427fef9403cbe5787c36a649649dc3.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/blood27_cid_0_fr_383_ts_00-00-15-407_jpg.rf.924e8edabfa6bc0b108288362fbf3499.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/stock-photo-two-beautiful-brunette-friends-are-sitting-on-the-summer-terrace-of-a-modern-restaurant-chatting-1326153443_jpg.rf.7494aa0387e2016e5a0b353f0bd2a544.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/blood_152_jpg.rf.60d18e079ec0afcfe913f74a94d7fbd6.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/E0E793B1-27D4-4E2A-99C7-4F051102B10F_jpg.rf.0d206c5aff1808e4139f7bb0187f5de3.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/blood24_cid_0_fr_1818_ts_00-01-00-600_jpg.rf.ca8d6bb0322e4cb5161c94b54e243c1c.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/marijuanna_image37-1-_jpg.rf.6354fea92d64da5f86bab601ada53084.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/stock-photo-cigarette-with-ashtray-on-wooden-background-649396027_jpg.rf.5466ef61f98490c00537a689759f9354.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/GantMan_C284F8B4-CDEB-4417-9ABA-E39179A3EE80_jpg.rf.71c72e44cc22cd328647344a05ddc528.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/793413C1-E3E0-43C9-88B8-A4216F69E8A3_jpg.rf.11a76ddb1f93987b795a1697006073e1.jpg,unsafe,nsfw,train,nsfw_detection
datasets/raw/nsfw_detection/out/train/NSFW/fwbcd21cbgv71_jpg.rf.2a6993dc9f0dea0633c27dd7fb7bb360.jpg,unsafe,nsfw,train,nsfw_detection
